code,description,category
4413,"Coding, proof-reading and related clerks",D
4414,Scribes and related workers,D
4415,Filing and copying clerks,D
4416,Personnel clerks,D
4419,Clerical support workers not elsewhere classified,D
5000,Service and sales workers,E
5100,Personal service workers,E
5110,"Travel attendants, conductors and guides",E
5111,Travel attendants and travel stewards,E
5112,Transport conductors,E
5113,Travel guides,E
5120,Cooks,E
5130,Waiters and bartenders,E
5131,Waiters,E
5132,Bartenders,E
5140,"Hairdressers, beauticians and related workers",E
5141,Hairdressers,E
5142,Beauticians and related workers,E
5150,Building and housekeeping supervisors,E
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",E
5152,Domestic housekeepers,E
5153,Building caretakers,E
5160,Other personal services workers,E
5161,"Astrologers, fortune-tellers and related workers",E
5162,Companions and valets,E
5163,Undertakers and embalmers,E
5164,Pet groomers and animal care workers,E
5165,Driving instructors,E
5169,Personal services workers not elsewhere classified,E
5200,Sales workers,E
5210,Street and market salespersons,E
5211,Stall and market salespersons,E
5212,Street food salespersons,E
5220,Shop salespersons,E
5221,Shop keepers,E
5222,Shop supervisors,E
5223,Shop sales assistants,E
5230,Cashiers and ticket clerks,E
5240,Other sales workers,E
5241,Fashion and other models,E
5242,Sales demonstrators,E
5243,Door to door salespersons,E
5244,Contact centre salespersons,E
5245,Service station attendants,E
5246,Food service counter attendants,E
5249,Sales workers not elsewhere classified,E
5300,Personal care workers,E
5310,Child care workers and teachers aides,E
5311,Child care workers,E
5312,Teachers aides,E
5320,Personal care workers in health services,E
5321,Health care assistants,E
5322,Home-based personal care workers,E
5329,Personal care workers in health services not elsewhere classified,E
5400,Protective services workers,E
5410,Protective services workers,E
5411,Fire-fighters,E
5412,Police officers,E
5413,Prison guards,E
5414,Security guards,E
5419,Protective services workers not elsewhere classified,E
6000,"Skilled agricultural, forestry and fishery workers",F
6100,Market-oriented skilled agricultural workers,F
6110,Market gardeners and crop growers,F
6111,Field crop and vegetable growers,F
6112,Tree and shrub crop growers,F
6113,"Gardeners, horticultural and nursery growers",F
6114,Mixed crop growers,F
6120,Animal producers,F
6121,Livestock and dairy producers,F
6122,Poultry producers,F
6123,Apiarists and sericulturists,F
6129,Animal producers not elsewhere classified,F
6130,Mixed crop and animal producers,F
6200,"Market-oriented skilled forestry, fishery and hunting workers",F
6210,Forestry and related workers,F
6220,"Fishery workers, hunters and trappers",F
6221,Aquaculture workers,F
6222,Inland and coastal waters fishery workers,F
6223,Deep-sea fishery workers,F
6224,Hunters and trappers,F
6300,"Subsistence farmers, fishers, hunters and gatherers",F
6310,Subsistence crop farmers,F
6320,Subsistence livestock farmers,F
6330,Subsistence mixed crop and livestock farmers,F
6340,"Subsistence fishers, hunters, trappers and gatherers",F
7000,Craft and related trades workers,G
7100,"Building and related trades workers, excluding electricians",G
7110,Building frame and related trades workers,G
7111,House builders,G
7112,Bricklayers and related workers,G
7113,"Stonemasons, stone cutters, splitters and carvers",G
7114,"Concrete placers, concrete finishers and related workers",G
7115,Carpenters and joiners,G
7119,Building frame and related trades workers not elsewhere classified,G
7120,Building finishers and related trades workers,G
7121,Roofers,G
7122,Floor layers and tile setters,G
7123,Plasterers,G
7124,Insulation workers,G
7125,Glaziers,G
7126,Plumbers and pipe fitters,G
7127,Air conditioning and refrigeration mechanics,G
7130,"Painters, building structure cleaners and related trades workers",G
7131,Painters and related workers,G
7132,Spray painters and varnishers,G
7133,Building structure cleaners,G
7200,"Metal, machinery and related trades workers",G
7210,"Sheet and structural metal workers, moulders and welders, and related workers",G
7211,Metal moulders and coremakers,G
7212,Welders and flamecutters,G
7213,Sheet-metal workers,G
7214,Structural-metal preparers and erectors,G
7215,Riggers and cable splicers,G
7220,"Blacksmiths, toolmakers and related trades workers",G
7221,"Blacksmiths, hammersmiths and forging press workers",G
7222,Toolmakers and related workers,G
7223,Metal working machine tool setters and operators,G
7224,"Metal polishers, wheel grinders and tool sharpeners",G
7230,Machinery mechanics and repairers,G
7231,Motor vehicle mechanics and repairers,G
7232,Aircraft engine mechanics and repairers,G
7233,Agricultural and industrial machinery mechanics and repairers,G
7234,Bicycle and related repairers,G
7300,Handicraft and printing workers,G
7310,Handicraft workers,G
7311,Precision-instrument makers and repairers,G
7312,Musical instrument makers and tuners,G
7313,Jewellery and precious-metal workers,G
7314,Potters and related workers,G
7315,"Glass makers, cutters, grinders and finishers",G
7316,"Sign writers, decorative painters, engravers and etchers",G
7317,"Handicraft workers in wood, basketry and related materials",G
7318,"Handicraft workers in textile, leather and related materials",G
7319,Handicraft workers not elsewhere classified,G
7320,Printing trades workers,G
7321,Pre-press technicians,G
7322,Printers,G
7323,Print finishing and binding workers,G
7400,Electrical and electronic trades workers,G
7410,Electrical equipment installers and repairers,G
7411,Building and related electricians,G
7412,Electrical mechanics and fitters,G
7413,Electrical line installers and repairers,G
7420,Electronics and telecommunications installers and repairers,G
7421,Electronics mechanics and servicers,G
7422,Information and communications technology installers and servicers,G
7500,"Food processing, wood working, garment and other craft and related trades workers",G
7510,Food processing and related trades workers,G
7511,"Butchers, fishmongers and related food preparers",G
7512,"Bakers, pastry-cooks and confectionery makers",G
7513,Dairy-products makers,G
7514,"Fruit, vegetable and related preservers",G
7515,Food and beverage tasters and graders,G
7516,Tobacco preparers and tobacco products makers,G
7520,"Wood treaters, cabinet-makers and related trades workers",G
7521,Wood treaters,G
7522,Cabinet-makers and related workers,G
7523,Woodworking-machine tool setters and operators,G
7530,Garment and related trades workers,G
7531,"Tailors, dressmakers, furriers and hatters",G
7532,Garment and related pattern-makers and cutters,G
7533,"Sewing, embroidery and related workers",G
7534,Upholsterers and related workers,G
7535,"Pelt dressers, tanners and fellmongers",G
7536,Shoemakers and related workers,G
7540,Other craft and related workers,G
7541,Underwater divers,G
7542,Shotfirers and blasters,G
7543,Product graders and testers (excluding foods and beverages),G
7544,Fumigators and other pest and weed controllers,G
7549,Craft and related workers not elsewhere classified,G
8000,"Plant and machine operators, and assemblers",H
8100,Stationary plant and machine operators,H
8110,Mining and mineral processing plant operators,H
8111,Miners and quarriers,H
8112,Mineral and stone processing plant operators,H
8113,Well drillers and borers and related workers,H
8114,"Cement, stone and other mineral products machine operators",H
8120,Metal processing and finishing plant operators,H
8121,Metal processing plant operators,H
8122,"Metal finishing, plating and coating machine operators",H
8130,Chemical and photographic products plant and machine operators,H
8131,Chemical products plant and machine operators,H
8132,Photographic products machine operators,H
8140,"Rubber, plastic and paper products machine operators",H
8141,Rubber products machine operators,H
8142,Plastic products machine operators,H
8143,Paper products machine operators,H
8150,"Textile, fur and leather products machine operators",H
8151,"Fibre preparing, spinning and winding machine operators",H
8152,Weaving and knitting machine operators,H
8153,Sewing machine operators,H
8154,"Bleaching, dyeing and fabric cleaning machine operators",H
8155,Fur and leather preparing machine operators,H
8156,Shoemaking and related machine operators,H
8157,Laundry machine operators,H
8159,"Textile, fur and leather products machine operators not elsewhere classified",H
8160,Food and related products machine operators,H
8170,Wood processing and papermaking plant operators,H
8171,Pulp and papermaking plant operators,H
8172,Wood processing plant operators,H
8180,Other stationary plant and machine operators,H
8181,Glass and ceramics plant operators,H
8182,Steam engine and boiler operators,H
8183,"Packing, bottling and labelling machine operators",H
8189,Stationary plant and machine operators not elsewhere classified,H
8200,Assemblers,H
8210,Assemblers,H
8211,Mechanical machinery assemblers,H
8212,Electrical and electronic equipment assemblers,H
8219,Assemblers not elsewhere classified,H
8300,Drivers and mobile plant operators,H
8310,Locomotive engine drivers and related workers,H
8311,Locomotive engine drivers,H
8312,"Railway brake, signal and switch operators",H
8320,"Car, van and motorcycle drivers",H
